symbol,signal_ts,mkt_snap_ts,entry_ts,lat_dec_s,lat_mkt_s,ma2_slots_occupied_at_entry,cross_strategy_holding_symbol_at_signal,n_real_competitors_same_slot,replay_first_fire_ts,replay_first_fire_delta_min,replay_pattern_persistence_bars_5m
DOGEUSDT,2026-07-16T12:15:32.862000,2026-07-16T12:15:29.871000,2026-07-16T12:15:33.373000,0.5,3.5,2,,1,2026-07-16T10:05:00,-130.5,52
SUIUSDT,2026-07-16T14:31:06.681000,2026-07-16T14:31:02.688000,2026-07-16T14:31:08.820000,2.1,6.1,2,,2,2026-07-16T11:05:00,-206.1,48
ZECUSDT,2026-07-16T23:43:23.158000,2026-07-16T23:43:20.194000,2026-07-16T23:43:24.247000,1.1,4.1,2,,0,2026-07-16T23:05:00,-38.4,12
LINKUSDT,2026-07-17T06:31:40.913000,2026-07-17T06:31:37.731000,2026-07-17T06:31:41.675000,0.8,3.9,2,,0,2026-07-17T06:05:00,-26.7,12
DOTUSDT,2026-07-17T13:54:39.883000,2026-07-17T13:54:36.772000,2026-07-17T13:54:43.019000,3.1,6.2,1,,0,2026-07-17T13:35:00,-19.7,11
GALAUSDT,2026-07-17T14:01:44.806000,2026-07-17T14:01:42.875000,2026-07-17T14:01:47.570000,2.8,4.7,2,,0,2026-07-17T11:40:00,-141.7,12
XLMUSDT,2026-07-17T16:30:52.932000,2026-07-17T16:30:50.353000,2026-07-17T16:30:54.604000,1.7,4.3,2,,0,2026-07-17T16:05:00,-25.9,23
MSFTUSDT,2026-07-17T17:05:18.647000,2026-07-17T17:05:16.356000,2026-07-17T17:05:19.674000,1.0,3.3,2,,0,2026-07-17T10:10:00,-415.3,112
4USDT,2026-07-17T17:11:14.896000,2026-07-17T17:11:12.204000,2026-07-17T17:11:15.674000,0.8,3.5,2,,2,NO_FIRE_OR_UNREPLAYABLE,,0
BASEDUSDT,2026-07-18T17:17:45.251000,2026-07-18T17:17:43.312000,2026-07-18T17:17:45.921000,0.7,2.6,2,,1,2026-07-18T17:05:00,-12.8,19
LDOUSDT,2026-07-18T18:48:23.850000,2026-07-18T18:48:21.449000,2026-07-18T18:48:24.936000,1.1,3.5,2,,1,2026-07-18T18:05:00,-43.4,30
ZAMAUSDT,2026-07-18T19:56:40.012000,2026-07-18T19:56:37.654000,2026-07-18T19:56:41.120000,1.1,3.5,2,,0,2026-07-18T16:05:00,-231.7,83
MUSDT,2026-07-19T04:10:27.296000,2026-07-19T04:10:24.478000,2026-07-19T04:10:28.039000,0.7,3.6,2,,0,2026-07-19T02:30:00,-100.5,40
