Symbol,OpenedAt,Name
SPXUSDT,2026-07-14 19:34:39.897174+00,FVG - 15m
FOLKSUSDT,2026-07-14 19:47:27.779411+00,FVG - 15m
TLMUSDT,2026-07-14 19:47:31.659149+00,FVG - 1m
ALPINEUSDT,2026-07-14 19:54:45.120388+00,FVG - 1m
CRWDUSDT,2026-07-14 19:55:01.240685+00,Standard Scalping
INTWUSDT,2026-07-14 20:06:48.598013+00,FVG - 5m
ALPINEUSDT,2026-07-14 20:40:43.92533+00,Standard Scalping
MSFTUSDT,2026-07-14 21:06:10.899772+00,MA Slope Caso 2
TACUSDT,2026-07-14 21:19:32.200382+00,FVG - 1m
ESPORTSUSDT,2026-07-14 21:30:46.115977+00,FVG - 1m
1000XECUSDT,2026-07-14 21:42:26.501406+00,FVG - 15m
SNXUSDT,2026-07-14 21:42:32.559704+00,FVG - 1m
MVLLUSDT,2026-07-14 23:56:46.037522+00,FVG - 15m
NAORISUSDT,2026-07-14 23:56:49.765064+00,FVG - 1m
NBISUSDT,2026-07-14 23:56:55.33316+00,FVG - 5m
BASEDUSDT,2026-07-15 00:02:24.471746+00,FVG - 1m
HEMIUSDT,2026-07-15 00:02:30.531302+00,FVG - 5m
MEMEUSDT,2026-07-15 00:02:40.682677+00,Standard Scalping
BOTUSDT,2026-07-15 00:11:32.343745+00,FVG - 1m
KORUUSDT,2026-07-15 00:11:38.411233+00,FVG - 5m
DELLUSDT,2026-07-15 00:17:40.216077+00,Standard Scalping
SKHYUSDT,2026-07-15 00:25:45.556883+00,MA Cross Momentum
SKHYUSDT,2026-07-15 00:25:53.704049+00,Scalping Clone
BMNRUSDT,2026-07-15 01:02:29.396644+00,FVG - 5m
POPCATUSDT,2026-07-15 01:12:45.142545+00,Standard Scalping
KASUSDT,2026-07-15 01:17:40.393578+00,Scalping Clone
ELSAUSDT,2026-07-15 01:25:22.797313+00,FVG - 1m
PYTHUSDT,2026-07-15 01:52:36.799376+00,FVG - 1m
AUSDT,2026-07-15 02:00:47.368277+00,FVG - 1m
UVXYUSDT,2026-07-15 02:08:00.644004+00,MA Slope Caso 2
ATUSDT,2026-07-15 02:11:47.057718+00,MA Slope Caso 2
ZECUSDT,2026-07-15 02:16:46.419584+00,FVG - 1m
STOUSDT,2026-07-15 02:21:36.330073+00,FVG - 1m
PYTHUSDT,2026-07-15 02:23:11.21618+00,Scalping Clone
METUSDT,2026-07-15 02:27:04.393625+00,FVG - 1m
SUIUSDT,2026-07-15 02:27:08.526265+00,MA Slope Caso 3
NEWTUSDT,2026-07-15 02:37:00.065261+00,FVG - 1m
ETHBTCUSDT,2026-07-15 02:37:08.16409+00,MA Slope Caso 3
BLURUSDT,2026-07-15 02:49:34.850763+00,FVG - 1m
EDENUSDT,2026-07-15 03:03:57.222948+00,MA Slope Caso 2
AUSDT,2026-07-15 03:10:00.535221+00,FVG - 1m
AIGENSYNUSDT,2026-07-15 03:42:00.509467+00,FVG - 1m
SANDUSDT,2026-07-15 03:49:14.592346+00,MA Slope Caso 3
HOMEUSDT,2026-07-15 04:05:49.464448+00,FVG - 1m
ICNTUSDT,2026-07-15 04:05:55.628758+00,MA Slope Caso 2
MMTUSDT,2026-07-15 04:11:03.306459+00,FVG - 1m
0GUSDT,2026-07-15 04:11:07.457468+00,FVG - 5m
SYNUSDT,2026-07-15 04:32:53.318589+00,FVG - 1m
ASMLUSDT,2026-07-15 04:32:59.402051+00,MA Slope Caso 3 (15m)
JTOUSDT,2026-07-15 04:40:07.532088+00,FVG - 1m
ZBTUSDT,2026-07-15 04:47:43.676262+00,FVG - 1m
ZBTUSDT,2026-07-15 04:47:47.750907+00,FVG - 5m
BSPUSDT,2026-07-15 04:47:51.843837+00,MA Slope Caso 3 (15m)
VANAUSDT,2026-07-15 04:57:27.799637+00,FVG - 1m
CATIUSDT,2026-07-15 04:57:31.853222+00,FVG - 5m
GOOGLUSDT,2026-07-15 04:57:39.974428+00,MA Slope Caso 3 (15m)
TOWNSUSDT,2026-07-15 05:06:19.647762+00,FVG - 15m
TUSDT,2026-07-15 05:06:23.717682+00,FVG - 1m
CUSDT,2026-07-15 05:06:27.787384+00,FVG - 5m
LINEAUSDT,2026-07-15 05:11:42.854844+00,FVG - 1m
LDOUSDT,2026-07-15 05:11:46.936741+00,FVG - 5m
APEUSDT,2026-07-15 05:16:50.399947+00,FVG - 1m
RESOLVUSDT,2026-07-15 05:16:54.452001+00,FVG - 5m
KITEUSDT,2026-07-15 05:54:58.855763+00,FVG - 15m
SXTUSDT,2026-07-15 05:55:04.911218+00,FVG - 5m
VANRYUSDT,2026-07-15 06:02:21.264721+00,FVG - 15m
SNDKUSDT,2026-07-15 06:02:27.378924+00,MA Slope Caso 3 (15m)
HEIUSDT,2026-07-15 06:11:39.36372+00,FVG - 15m
AGLDUSDT,2026-07-15 06:28:21.12312+00,FVG - 15m
EGLDUSDT,2026-07-15 06:49:09.431494+00,FVG - 5m
KLACUSDT,2026-07-15 06:49:31.766887+00,Scalping Clone
USUALUSDT,2026-07-15 06:49:39.205208+00,Scalping Clone
ASMLUSDT,2026-07-15 06:57:28.856632+00,Scalping Clone
OGUSDT,2026-07-15 07:11:31.514873+00,Scalping Clone
BTCUSDT,2026-07-15 07:20:33.420351+00,MA Slope Caso 3
BABYUSDT,2026-07-15 07:30:05.904472+00,Compresion ADN - Micro (5m)
RAVEUSDT,2026-07-15 08:03:16.784794+00,Compresion ADN - Micro (5m)
COWUSDT,2026-07-15 08:03:44.402317+00,Standard Scalping
ALPINEUSDT,2026-07-15 08:14:49.574723+00,FVG - 1m
REUSDT,2026-07-15 08:18:00.724923+00,FVG - 1m
ESPORTSUSDT,2026-07-15 08:18:04.8602+00,FVG - 5m
XANUSDT,2026-07-15 08:43:39.628363+00,FVG - 1m
LAUSDT,2026-07-15 09:04:47.789704+00,Compresion ADN - Micro (5m)
VANRYUSDT,2026-07-15 09:09:59.348796+00,Scalping Clone
USUSDT,2026-07-15 09:27:22.860591+00,FVG - 1m
BSBUSDT,2026-07-15 09:35:17.462901+00,FVG - 5m
BSVUSDT,2026-07-15 09:44:23.870917+00,FVG - 15m
EDUUSDT,2026-07-15 09:44:29.938333+00,FVG - 5m
1000XECUSDT,2026-07-15 09:44:42.057753+00,Scalping Clone
HANAUSDT,2026-07-15 09:50:33.167629+00,FVG - 15m
SPORTFUNUSDT,2026-07-15 09:50:38.697842+00,FVG - 5m
DEXEUSDT,2026-07-15 09:58:03.091602+00,FVG - 5m
ALCHUSDT,2026-07-15 10:03:55.659435+00,FVG - 5m
OGNUSDT,2026-07-15 10:18:57.598781+00,FVG - 5m
BCHUSDT,2026-07-15 10:19:02.947088+00,MA Slope Caso 1
DODOXUSDT,2026-07-15 10:25:28.595483+00,FVG - 1m
VIRTUALUSDT,2026-07-15 10:29:17.062253+00,MA Slope Caso 3 (15m)
BEATUSDT,2026-07-15 10:34:29.418185+00,FVG - 1m
PTBUSDT,2026-07-15 10:49:04.343716+00,FVG - 1m
RAVEUSDT,2026-07-15 10:49:12.434787+00,Standard Scalping
MYXUSDT,2026-07-15 11:25:22.418899+00,FVG - 1m
AVAXUSDT,2026-07-15 11:42:04.760301+00,MA Slope Caso 3 (15m)
2ZUSDT,2026-07-15 11:55:39.207937+00,FVG - 1m
LABUSDT,2026-07-15 12:07:46.171946+00,FVG - 1m
PHAROSUSDT,2026-07-15 12:16:51.573429+00,FVG - 1m
METUSDT,2026-07-15 12:16:55.707289+00,FVG - 5m
COWUSDT,2026-07-15 12:23:49.67033+00,Scalping Clone
SKHYUSDT,2026-07-15 12:29:26.456242+00,FVG - 15m
UBUSDT,2026-07-15 12:29:30.54955+00,FVG - 1m
MAGMAUSDT,2026-07-15 12:33:24.057975+00,FVG - 15m
USELESSUSDT,2026-07-15 12:33:29.529947+00,FVG - 1m
HYPEUSDT,2026-07-15 12:34:38.788767+00,Scalping Clone
IOTAUSDT,2026-07-15 12:34:44.870514+00,Scalping Clone
SAHARAUSDT,2026-07-15 12:34:57.033311+00,Scalping Clone
RIFUSDT,2026-07-15 12:42:37.570346+00,FVG - 5m
GRAMUSDT,2026-07-15 12:55:22.076791+00,FVG - 1m
TAIKOUSDT,2026-07-15 12:55:28.184603+00,FVG - 5m
SOLUSDT,2026-07-15 13:02:12.158616+00,MA Slope Caso 3
ENSOUSDT,2026-07-15 13:08:22.277627+00,MA Slope Caso 3 (15m)
CCUSDT,2026-07-15 13:11:29.880363+00,FVG - 1m
FFUSDT,2026-07-15 13:18:01.486822+00,FVG - 1m
BILLUSDT,2026-07-15 13:24:03.498293+00,FVG - 1m
XPINUSDT,2026-07-15 13:29:08.241172+00,FVG - 1m
PIEVERSEUSDT,2026-07-15 13:46:56.615214+00,FVG - 5m
STABLEUSDT,2026-07-15 13:47:02.737954+00,MA Slope Caso 2
MUBARAKUSDT,2026-07-15 13:54:52.689197+00,FVG - 15m
AXTIUSDT,2026-07-15 13:54:56.772363+00,FVG - 1m
EVAAUSDT,2026-07-15 13:55:02.873789+00,FVG - 5m
BOTUSDT,2026-07-15 14:00:43.860661+00,FVG - 5m
JSTUSDT,2026-07-15 14:08:31.373562+00,FVG - 5m
VVVUSDT,2026-07-15 14:08:35.419741+00,MA Slope Caso 2
MANTAUSDT,2026-07-15 14:08:41.509968+00,MA Slope Caso 3 (15m)
BIRBUSDT,2026-07-15 14:11:51.019863+00,FVG - 5m
TNSRUSDT,2026-07-15 14:11:57.092146+00,MA Slope Caso 3 (15m)
INXUSDT,2026-07-15 14:27:30.781852+00,FVG - 1m
BTWUSDT,2026-07-15 14:27:34.824131+00,FVG - 5m
ALLOUSDT,2026-07-15 14:33:12.81971+00,FVG - 1m
FOLKSUSDT,2026-07-15 14:39:51.962235+00,FVG - 1m
WOOUSDT,2026-07-15 14:39:55.352134+00,FVG - 5m
PAXGUSDT,2026-07-15 14:39:59.221221+00,MA Slope Caso 3 (15m)
SNXXUSDT,2026-07-15 14:49:22.194382+00,FVG - 1m
0GUSDT,2026-07-15 14:49:31.031813+00,Standard Scalping
KAITOUSDT,2026-07-15 14:58:21.265304+00,FVG - 1m
NMRUSDT,2026-07-15 15:08:26.053928+00,FVG - 5m
1000BONKUSDT,2026-07-15 15:08:30.88914+00,MA Slope Caso 1
UAIUSDT,2026-07-15 15:20:56.770109+00,FVG - 15m
FLOCKUSDT,2026-07-15 15:21:02.855664+00,FVG - 1m
XRPUSDT,2026-07-15 15:21:08.969221+00,MA Slope Caso 3 (15m)
MVLLUSDT,2026-07-15 15:33:25.884154+00,FVG - 1m
HEMIUSDT,2026-07-15 15:42:22.605065+00,FVG - 1m
PLTRUSDT,2026-07-15 15:42:38.913024+00,Standard Scalping
EPICUSDT,2026-07-15 15:55:39.414843+00,FVG - 1m
RPLUSDT,2026-07-15 16:09:58.122393+00,Compresion ADN - Micro (5m)
BANKUSDT,2026-07-15 16:19:12.762386+00,FVG - 5m
NATGASUSDT,2026-07-15 16:19:22.846966+00,MA Slope Caso 1
SKYUSDT,2026-07-15 16:29:23.001178+00,FVG - 1m
ONDOUSDT,2026-07-15 16:29:27.099641+00,FVG - 5m
AIXBTUSDT,2026-07-15 16:33:59.62552+00,FVG - 1m
NFLXUSDT,2026-07-15 16:44:07.387368+00,MA Slope Caso 3 (15m)
IDUSDT,2026-07-15 16:51:02.682371+00,Compresion ADN - Micro (5m)
ORDERUSDT,2026-07-15 16:57:42.257571+00,Standard Scalping
ZROUSDT,2026-07-15 17:04:08.314259+00,FVG - 1m
MEUSDT,2026-07-15 17:04:12.383251+00,FVG - 5m
ZKUSDT,2026-07-15 17:10:25.44887+00,FVG - 1m
THEUSDT,2026-07-15 17:15:15.465885+00,FVG - 1m
ETHFIUSDT,2026-07-15 17:15:19.526759+00,FVG - 5m
NAORISUSDT,2026-07-15 17:15:36.907019+00,Standard Scalping
WLDUSDT,2026-07-15 17:24:51.665853+00,FVG - 1m
BELUSDT,2026-07-15 17:35:30.790207+00,FVG - 15m
SKLUSDT,2026-07-15 17:35:44.201874+00,MA Cross Momentum
HOODUSDT,2026-07-15 17:35:56.420895+00,MA Slope Caso 3 (15m)
TRBUSDT,2026-07-15 17:45:08.556035+00,MA Slope Caso 1
HIMSUSDT,2026-07-15 17:58:14.958895+00,Standard Scalping
SCRUSDT,2026-07-15 18:05:03.421304+00,FVG - 1m
NOMUSDT,2026-07-15 18:15:37.35486+00,Compresion ADN - Micro (5m)
ACTUSDT,2026-07-15 18:20:32.351796+00,FVG - 1m
BEAMXUSDT,2026-07-15 18:20:40.473646+00,FVG - 5m
TLMUSDT,2026-07-15 18:35:12.386477+00,FVG - 5m
PYTHUSDT,2026-07-15 18:58:06.19443+00,FVG - 5m
HOTUSDT,2026-07-15 19:04:45.411874+00,FVG - 5m
CAPUSDT,2026-07-15 19:04:53.516243+00,Standard Scalping
ANKRUSDT,2026-07-15 19:35:31.140969+00,FVG - 5m
HOLOUSDT,2026-07-15 19:56:25.430267+00,FVG - 1m
MOVEUSDT,2026-07-15 20:35:45.831831+00,FVG - 1m
PHAUSDT,2026-07-15 20:43:42.774299+00,FVG - 1m
SANTOSUSDT,2026-07-15 20:43:50.952975+00,FVG - 5m
WUSDT,2026-07-15 20:58:49.403682+00,FVG - 5m
MINAUSDT,2026-07-15 21:05:51.507142+00,LSE Counter-Trend 
VIRTUALUSDT,2026-07-15 21:12:28.607998+00,Standard Scalping
PUMPUSDT,2026-07-15 21:17:22.975773+00,FVG - 15m
SQDUSDT,2026-07-15 21:35:57.387195+00,LSE Counter-Trend 
EIGENUSDT,2026-07-15 21:44:29.119796+00,FVG - 1m
SENTUSDT,2026-07-15 21:57:02.314414+00,FVG - 15m
HOLOUSDT,2026-07-15 22:14:19.326302+00,Scalping Clone
CFGUSDT,2026-07-15 22:18:24.47945+00,FVG - 1m
AKEUSDT,2026-07-15 22:44:15.547679+00,FVG - 1m
GWEIUSDT,2026-07-15 22:50:48.72268+00,FVG - 15m
SIRENUSDT,2026-07-15 22:50:53.202561+00,FVG - 1m
NBISUSDT,2026-07-15 22:58:08.966791+00,FVG - 1m
INTWUSDT,2026-07-15 22:58:13.052337+00,FVG - 5m
ASTSUSDT,2026-07-15 23:05:41.622609+00,FVG - 1m
GALAUSDT,2026-07-15 23:50:59.455915+00,MA Slope Caso 1
BASUSDT,2026-07-15 23:59:19.507688+00,FVG - 15m
BEUSDT,2026-07-16 00:11:53.248022+00,FVG - 15m
SOXLUSDT,2026-07-16 00:11:58.427318+00,FVG - 5m
BULLAUSDT,2026-07-16 00:18:16.643767+00,FVG - 1m
FRAXUSDT,2026-07-16 00:23:30.368021+00,FVG - 5m
HYUNDAIUSDT,2026-07-16 00:40:17.048749+00,Compresion ADN - Micro (5m)
MEGAUSDT,2026-07-16 01:08:30.000847+00,Compresion ADN - Micro (5m)
NOTUSDT,2026-07-16 02:23:56.412153+00,LSE Counter-Trend 
ETHFIUSDT,2026-07-16 02:34:15.795716+00,Standard Scalping
SNXUSDT,2026-07-16 02:40:31.53144+00,Compresion ADN - Micro (5m)
LITEUSDT,2026-07-16 02:46:23.471334+00,FVG - 5m
ZECUSDT,2026-07-16 02:51:16.303605+00,FVG - 15m
TACUSDT,2026-07-16 02:57:23.257108+00,FVG - 15m
BSVUSDT,2026-07-16 03:39:38.469277+00,Compresion ADN - Micro (5m)
AIGENSYNUSDT,2026-07-16 03:48:04.981814+00,Standard Scalping
SKHYUSDT,2026-07-16 04:10:34.424063+00,MA Slope Caso 2
HEIUSDT,2026-07-16 04:29:56.785816+00,FVG - 1m
FFUSDT,2026-07-16 04:30:00.844861+00,FVG - 5m
MORPHOUSDT,2026-07-16 04:42:21.218194+00,FVG - 1m
XPLUSDT,2026-07-16 04:49:39.648834+00,FVG - 1m
EDGEUSDT,2026-07-16 05:06:25.627221+00,Standard Scalping
MVLLUSDT,2026-07-16 05:27:02.96107+00,FVG - 5m
FLOCKUSDT,2026-07-16 05:41:32.428486+00,FVG - 5m
ALCHUSDT,2026-07-16 05:50:30.629409+00,FVG - 15m
ZBTUSDT,2026-07-16 05:50:34.635921+00,FVG - 5m
ESPORTSUSDT,2026-07-16 06:02:07.408512+00,FVG - 1m
HOMEUSDT,2026-07-16 06:12:00.462135+00,FVG - 1m
LABUSDT,2026-07-16 06:19:50.434053+00,FVG - 1m
BLUAIUSDT,2026-07-16 06:31:45.250942+00,FVG - 1m
HUSDT,2026-07-16 06:31:48.690143+00,FVG - 5m
BSBUSDT,2026-07-16 06:42:11.557998+00,FVG - 1m
ONDOUSDT,2026-07-16 06:42:17.633002+00,FVG - 5m
PTBUSDT,2026-07-16 06:50:54.917656+00,FVG - 5m
NVOUSDT,2026-07-16 07:01:26.271823+00,Compresion ADN - Micro (5m)
TACUSDT,2026-07-16 07:01:30.206236+00,FVG - 1m
STARUSDT,2026-07-16 07:01:35.688309+00,FVG - 5m
TERUSDT,2026-07-16 07:01:41.354966+00,MA Slope Caso 1
BANKUSDT,2026-07-16 07:11:41.244427+00,FVG - 5m
BEATUSDT,2026-07-16 07:22:56.148166+00,FVG - 5m
DEXEUSDT,2026-07-16 07:32:48.69644+00,FVG - 1m
AAPLUSDT,2026-07-16 07:43:21.690892+00,MA Slope Caso 3
CAPUSDT,2026-07-16 07:54:05.519397+00,FVG - 5m
EPICUSDT,2026-07-16 08:12:42.097304+00,FVG - 1m
AMZNUSDT,2026-07-16 08:21:00.932848+00,MA Slope Caso 3
AIOUSDT,2026-07-16 08:29:39.156589+00,FVG - 1m
USELESSUSDT,2026-07-16 08:40:57.665636+00,FVG - 1m
USUSDT,2026-07-16 08:41:02.984335+00,FVG - 5m
JSTUSDT,2026-07-16 08:41:07.42042+00,MA Slope Caso 1
KORUUSDT,2026-07-16 08:49:54.562011+00,FVG - 1m
HYUNDAIUSDT,2026-07-16 08:49:59.344822+00,MA Slope Caso 1
RAVEUSDT,2026-07-16 08:59:42.631617+00,FVG - 5m
SOXLUSDT,2026-07-16 09:18:49.213545+00,FVG - 5m
龙虾USDT,2026-07-16 09:32:47.224533+00,FVG - 5m
RECALLUSDT,2026-07-16 09:43:37.575571+00,Compresion ADN - Micro (5m)
RECALLUSDT,2026-07-16 09:43:49.706742+00,Standard Scalping
SKYAIUSDT,2026-07-16 09:51:40.091794+00,FVG - 5m
JCTUSDT,2026-07-16 10:00:52.892795+00,FVG - 5m
BILLUSDT,2026-07-16 10:10:35.79468+00,FVG - 5m
EVAAUSDT,2026-07-16 10:22:24.440639+00,FVG - 15m
TUSDT,2026-07-16 10:22:28.050299+00,FVG - 5m
MOVRUSDT,2026-07-16 10:35:11.571871+00,Compresion ADN - Micro (5m)
EGLDUSDT,2026-07-16 10:35:17.646176+00,FVG - 5m
ARCUSDT,2026-07-16 10:47:19.874983+00,MA Slope Caso 1
GENIUSUSDT,2026-07-16 10:56:05.448685+00,Compresion ADN - Micro (5m)
TRIAUSDT,2026-07-16 11:03:56.778428+00,FVG - 15m
RAVEUSDT,2026-07-16 11:04:01.969151+00,Standard Scalping
VIRTUALUSDT,2026-07-16 11:17:53.313811+00,FVG - 1m
KATUSDT,2026-07-16 11:17:58.450151+00,FVG - 5m
BOTUSDT,2026-07-16 11:18:03.510292+00,MA Slope Caso 1
BANUSDT,2026-07-16 11:30:51.390625+00,Compresion ADN - Micro (5m)
OPNUSDT,2026-07-16 11:30:55.709187+00,FVG - 1m
LIGHTUSDT,2026-07-16 11:30:59.006601+00,FVG - 5m
AIOTUSDT,2026-07-16 11:39:48.054322+00,FVG - 1m
NIGHTUSDT,2026-07-16 11:49:02.961206+00,FVG - 5m
BASUSDT,2026-07-16 12:06:24.110122+00,MA Cross Momentum
DOGEUSDT,2026-07-16 12:15:33.373193+00,MA Slope Caso 2
BASEDUSDT,2026-07-16 12:23:41.848652+00,FVG - 1m
SOXSUSDT,2026-07-16 12:29:02.989931+00,FVG - 1m
BEUSDT,2026-07-16 12:32:59.484906+00,FVG - 1m
UBUSDT,2026-07-16 12:42:10.130717+00,FVG - 1m
SYRUPUSDT,2026-07-16 12:42:14.169285+00,FVG - 5m
BASEDUSDT,2026-07-16 12:42:22.256841+00,Standard Scalping
INTWUSDT,2026-07-16 12:51:30.012693+00,FVG - 1m
SXTUSDT,2026-07-16 12:51:34.647052+00,FVG - 5m
ZESTUSDT,2026-07-16 12:58:59.258475+00,FVG - 5m
AKEUSDT,2026-07-16 13:20:58.566315+00,FVG - 1m
FWDIUSDT,2026-07-16 13:32:59.210404+00,FVG - 1m
AERGOUSDT,2026-07-16 13:33:05.294375+00,FVG - 5m
PIEVERSEUSDT,2026-07-16 13:33:09.346562+00,MA Slope Caso 1
MNTUSDT,2026-07-16 13:33:15.392438+00,MA Slope Caso 3 (15m)
SNXXUSDT,2026-07-16 13:41:47.62678+00,FVG - 1m
TAKEUSDT,2026-07-16 13:49:03.630093+00,FVG - 1m
COLLECTUSDT,2026-07-16 13:57:55.771505+00,FVG - 1m
SNDKUSDT,2026-07-16 14:04:48.29183+00,FVG - 5m
KAITOUSDT,2026-07-16 14:18:02.027039+00,FVG - 1m
BZUSDT,2026-07-16 14:18:08.124676+00,MA Slope Caso 3 (15m)
SUIUSDT,2026-07-16 14:31:08.820687+00,MA Slope Caso 2
NOWUSDT,2026-07-16 14:39:31.605884+00,FVG - 1m
TAIKOUSDT,2026-07-16 14:39:36.15975+00,FVG - 5m
JELLYJELLYUSDT,2026-07-16 14:47:35.247592+00,FVG - 1m
ORCAUSDT,2026-07-16 14:55:55.911139+00,MA Slope Caso 3 (15m)
OGNUSDT,2026-07-16 15:05:18.896665+00,Compresion ADN - Micro (5m)
SLXUSDT,2026-07-16 15:05:27.086123+00,MA Slope Caso 1
BBXUSDT,2026-07-16 15:19:57.470618+00,FVG - 1m
BLENDUSDT,2026-07-16 15:20:03.550612+00,LSE Counter-Trend 
ESPUSDT,2026-07-16 15:32:35.658843+00,Compresion ADN - Micro (5m)
TLMUSDT,2026-07-16 15:39:58.438939+00,FVG - 15m
CFGUSDT,2026-07-16 15:40:04.506084+00,FVG - 1m
ARMUSDT,2026-07-16 15:50:32.500711+00,FVG - 1m
MSFTUSDT,2026-07-16 15:50:42.856164+00,MA Slope Caso 3
CRDOUSDT,2026-07-16 15:59:39.646307+00,FVG - 1m
MMTUSDT,2026-07-16 16:09:56.64021+00,FVG - 15m
AGLDUSDT,2026-07-16 16:10:00.736301+00,FVG - 1m
MUBARAKUSDT,2026-07-16 16:13:45.011715+00,FVG - 1m
1000BONKUSDT,2026-07-16 16:13:51.09309+00,MA Slope Caso 1
ALLOUSDT,2026-07-16 16:18:45.888799+00,FVG - 1m
ENAUSDT,2026-07-16 16:23:49.061842+00,FVG - 1m
ORCLUSDT,2026-07-16 16:28:46.165142+00,FVG - 1m
SENTUSDT,2026-07-16 16:44:49.240812+00,FVG - 1m
HIMSUSDT,2026-07-16 16:52:52.961629+00,FVG - 1m
AXTIUSDT,2026-07-16 17:49:53.983753+00,FVG - 1m
ASTSUSDT,2026-07-16 17:57:33.034241+00,FVG - 1m
GWEIUSDT,2026-07-16 18:03:40.36632+00,FVG - 1m
LTCUSDT,2026-07-16 18:03:43.903057+00,MA Slope Caso 3 (15m)
LUMIAUSDT,2026-07-16 18:16:13.84536+00,Compresion ADN - Micro (5m)
MANTRAUSDT,2026-07-16 18:16:20.509571+00,FVG - 15m
RESOLVUSDT,2026-07-16 18:16:25.029005+00,FVG - 1m
BCHUSDT,2026-07-16 18:16:30.903347+00,MA Slope Caso 1
1000XECUSDT,2026-07-16 18:28:06.007894+00,FVG - 15m
GPSUSDT,2026-07-16 18:28:12.075289+00,FVG - 1m
ENSUSDT,2026-07-16 18:54:40.924794+00,Compresion ADN - Micro (5m)
NBISUSDT,2026-07-16 18:54:46.031438+00,FVG - 1m
ERAUSDT,2026-07-16 19:08:15.072538+00,FVG - 1m
HMSTRUSDT,2026-07-16 19:14:38.919939+00,FVG - 1m
MYXUSDT,2026-07-16 19:44:15.09283+00,FVG - 1m
RKLBUSDT,2026-07-16 19:57:56.936375+00,FVG - 5m
FOLKSUSDT,2026-07-16 20:31:20.931755+00,FVG - 1m
NFLXUSDT,2026-07-16 20:34:07.41244+00,FVG - 1m
MAGMAUSDT,2026-07-16 20:42:50.193132+00,FVG - 1m
DODOXUSDT,2026-07-16 20:58:48.793379+00,FVG - 1m
SPELLUSDT,2026-07-16 21:07:47.374033+00,FVG - 1m
ROBOUSDT,2026-07-16 21:13:33.737413+00,FVG - 1m
XANUSDT,2026-07-16 21:20:24.371384+00,FVG - 1m
ALPINEUSDT,2026-07-16 21:30:34.201901+00,FVG - 1m
GLWUSDT,2026-07-16 21:34:58.958958+00,FVG - 5m
EIGENUSDT,2026-07-16 21:48:21.079157+00,FVG - 1m
STGUSDT,2026-07-16 22:09:38.43+00,FVG - 1m
GUAUSDT,2026-07-16 22:09:43.319921+00,MA Slope Caso 3
VELVETUSDT,2026-07-16 22:19:57.51868+00,FVG - 1m
XPINUSDT,2026-07-16 22:30:52.645026+00,FVG - 5m
MOVEUSDT,2026-07-16 22:41:36.70269+00,FVG - 1m
RIFUSDT,2026-07-16 22:41:44.796901+00,FVG - 5m
KSTRUSDT,2026-07-16 22:49:39.669546+00,FVG - 15m
TRUTHUSDT,2026-07-16 22:55:38.501358+00,FVG - 5m
BUSDT,2026-07-16 23:32:45.750624+00,FVG - 5m
PUMPUSDT,2026-07-16 23:43:16.222628+00,FVG - 15m
ZECUSDT,2026-07-16 23:43:24.247325+00,MA Slope Caso 2
SPCXUSDT,2026-07-16 23:53:47.373094+00,FVG - 15m
NOMUSDT,2026-07-17 00:04:29.928987+00,FVG - 5m
LDOUSDT,2026-07-17 00:11:50.38028+00,FVG - 15m
2ZUSDT,2026-07-17 00:11:54.425366+00,FVG - 1m
PLUMEUSDT,2026-07-17 00:15:54.284045+00,FVG - 1m
XAUTUSDT,2026-07-17 00:21:49.192386+00,Compresion ADN - Micro (5m)
SKLUSDT,2026-07-17 00:21:55.293572+00,FVG - 15m
METUSDT,2026-07-17 00:21:59.400067+00,FVG - 1m
XMRUSDT,2026-07-17 00:22:04.818842+00,MA Slope Caso 3
COOKIEUSDT,2026-07-17 00:26:49.78784+00,FVG - 1m
VANAUSDT,2026-07-17 01:04:41.168258+00,FVG - 1m
MUUUSDT,2026-07-17 01:15:20.716449+00,FVG - 1m
ACHUSDT,2026-07-17 01:46:12.471873+00,FVG - 1m
SPORTFUNUSDT,2026-07-17 01:46:17.520933+00,MA Cross Momentum
SPORTFUNUSDT,2026-07-17 01:46:25.951834+00,Scalping Clone
SPORTFUNUSDT,2026-07-17 01:46:28.855749+00,Standard Scalping
0GUSDT,2026-07-17 01:57:10.504102+00,FVG - 15m
MMTUSDT,2026-07-17 01:57:20.481021+00,Standard Scalping
OUSDT,2026-07-17 02:19:48.252121+00,FVG - 5m
YBUSDT,2026-07-17 02:32:02.551278+00,FVG - 1m
RAVEUSDT,2026-07-17 03:32:03.417973+00,FVG - 1m
BTCDOMUSDT,2026-07-17 03:32:12.225378+00,MA Slope Caso 3
SENTUSDT,2026-07-17 03:32:18.594076+00,MA Slope Caso 3 (15m)
BANKUSDT,2026-07-17 03:49:01.577384+00,FVG - 15m
STARUSDT,2026-07-17 03:49:08.370823+00,FVG - 1m
币安人生USDT,2026-07-17 04:05:05.281501+00,Arrow Reversal
AVNTUSDT,2026-07-17 04:05:19.552268+00,Compresion ADN - Micro (5m)
BULLAUSDT,2026-07-17 04:05:27.663879+00,FVG - 1m
1000RATSUSDT,2026-07-17 04:25:36.089599+00,FVG - 15m
TACUSDT,2026-07-17 04:25:40.149198+00,FVG - 1m
HEIUSDT,2026-07-17 04:33:09.146785+00,FVG - 1m
CCUSDT,2026-07-17 04:33:13.186569+00,MA Slope Caso 1
